method,checkpoint,episodes,evaluation_horizon,model_return_mean,model_return_std,real_return_mean,real_return_std,exploitation_gap_mean,exploitation_gap_std,mean_model_uncertainty,mean_training_horizon
Real PPO seed 0,runs/ppo_mid/checkpoint.pt,50,200,-579.4545288085938,83.44427490234375,-576.4338743276508,83.52456012181,-3.020690491685268,27.482362137628968,0.0001311028318013996,nan
Fixed H=5,runs/imag2_fixed_h5_s0/checkpoint.pt,50,200,-536.569091796875,168.8703155517578,-556.524561400381,186.1228200452409,19.955450682607562,46.251491876290196,0.00010204718273598701,5.0
Fixed H=5,runs/imag2_fixed_h5_s1/checkpoint.pt,50,200,-726.1127319335938,78.31437683105469,-768.3889852979815,59.98216206703175,42.27629853040333,41.7550884781563,0.0001405705261277035,5.0
Fixed H=5,runs/imag2_fixed_h5_s2/checkpoint.pt,50,200,-1054.3218994140625,61.06285095214844,-1052.1413187594035,74.37256217548979,-2.1806221585651953,16.127654087022616,0.0001324790937360376,5.0
Fixed H=20,runs/imag2_fixed_h20_s0/checkpoint.pt,50,200,-679.4952392578125,70.38623809814453,-696.0903056512874,76.55833142984666,16.595004137615437,22.16651283437706,0.00010790176747832447,20.0
Fixed H=20,runs/imag2_fixed_h20_s1/checkpoint.pt,50,200,-823.8624267578125,185.77169799804688,-875.5409030677309,82.16645847145098,51.6785648108949,127.45860260646651,0.00023497534857597202,20.0
Fixed H=20,runs/imag2_fixed_h20_s2/checkpoint.pt,50,200,-674.8251342773438,70.6086196899414,-689.7990550330869,79.6246567060943,14.973882913946348,25.009785923441967,9.270301961805671e-05,20.0
Uncertainty termination,runs/imag2_uncertainty_s0/checkpoint.pt,50,200,-1503.7216796875,57.350215911865234,-1487.7749759027865,52.22627364095373,-15.946679370650854,8.084511190815281,5.8225788961863145e-05,4.2
Uncertainty termination,runs/imag2_uncertainty_s1/checkpoint.pt,50,200,-1477.7349853515625,54.48310852050781,-1485.397486932514,52.05943712493961,7.662613885638925,9.824773812426537,8.128447370836511e-05,4.5
Uncertainty termination,runs/imag2_uncertainty_s2/checkpoint.pt,50,200,-1409.7138671875,65.53267669677734,-1444.8378481937066,62.16337188712302,35.123961474956744,15.468734924095122,8.879985398380086e-05,4.3
Weighted advantage H=20,runs/imag2_weighted_s0/checkpoint.pt,50,200,-1473.83251953125,75.65796661376953,-1461.7665465329953,73.66195581215725,-12.066034033410837,5.895625698675386,4.10124848713167e-05,20.0
Weighted advantage H=20,runs/imag2_weighted_s1/checkpoint.pt,50,200,-1472.03466796875,76.08466339111328,-1458.136830706132,72.28530261915748,-13.89777622746156,6.206508993945287,4.2905030568363145e-05,20.0
Weighted advantage H=20,runs/imag2_weighted_s2/checkpoint.pt,50,200,-1480.6787109375,75.89783477783203,-1466.4424121079119,69.20345381267566,-14.236420899900654,9.254576808578424,4.786459248862229e-05,20.0
