update,global_step,segments_completed,model_segment_return_20,mean_segment_horizon_20,mean_uncertainty,uncertainty_terminations,policy_loss,value_loss,approx_kl,clip_fraction,mean_advantage_weight,sps
1,4096,800,-1.37030712030828,5.0,1.7936934455065057e-05,0,-0.0003776662051677704,28.377399444580078,0.0005485583678819239,0.010693359375,1.0,18435
2,8192,1632,-6.5817470695823435,5.0,8.581860129197594e-06,0,-0.002808515913784504,30.222759246826172,0.001498193247243762,0.013671875,1.0,18911
3,12288,2432,-4.809502629935741,5.0,1.6695208614692092e-05,0,0.0023115109652280807,27.129039764404297,0.0026481933891773224,0.009375,1.0,18790
4,16384,3264,-1.9600564889609813,5.0,7.436018677253742e-06,0,-0.005705180577933788,22.136438369750977,0.0009686066186986864,0.021728515625,1.0,18647
5,20480,4096,-8.276017515361309,5.0,2.2005951905157417e-05,0,0.005631817504763603,23.351778030395508,0.0016115072648972273,0.008056640625,1.0,18512
6,24576,4896,-3.4937632724642755,5.0,2.2809656002209522e-05,0,-0.0011204867623746395,23.664094924926758,0.000429538544267416,0.011328125,1.0,18456
7,28672,5728,-4.168189585953951,5.0,1.719308966130484e-05,0,-0.005343738943338394,23.767719268798828,0.0013217610539868474,0.00712890625,1.0,18385
8,32768,6528,-3.663750472664833,5.0,2.0564370061038062e-05,0,-0.008761417120695114,26.306528091430664,0.0003225579275749624,0.00615234375,1.0,17800
9,36864,7360,-2.6224715154618026,5.0,1.4483082850347273e-05,0,-0.00021759793162345886,18.34370231628418,0.0036765828263014555,0.019970703125,1.0,17745
10,40960,8192,-0.625567426905036,5.0,1.1327447282383218e-05,0,-0.013083928264677525,14.211539268493652,0.0013343263417482376,0.015966796875,1.0,17809
11,45056,8992,-3.187331476807594,5.0,2.1910278519499116e-05,0,0.002046588808298111,24.270755767822266,0.0026097879745066166,0.00751953125,1.0,17880
12,49152,9824,-7.570403729751706,5.0,1.6919366316869855e-05,0,-0.006143413484096527,15.933541297912598,0.003613516688346863,0.00693359375,1.0,17916
13,53248,10624,-5.257213482260704,5.0,1.3180352652852889e-05,0,-0.00361675675958395,22.681196212768555,0.001999203348532319,0.006494140625,1.0,17636
14,57344,11456,-4.768381030112505,5.0,1.6458943719044328e-05,0,0.0020569153130054474,16.301786422729492,0.00047961241216398776,0.005126953125,1.0,17660
15,61440,12288,-4.243246948719024,5.0,1.6676456652930938e-05,0,0.009586818516254425,22.68359375,0.0036194398999214172,0.0109375,1.0,17776
16,65536,13088,-2.4376943871378898,5.0,1.1641732271527871e-05,0,-0.013538075610995293,17.686830520629883,0.004489976447075605,0.0142578125,1.0,17772
17,69632,13920,-0.16251294761896135,5.0,1.532000896986574e-05,0,0.0014802254736423492,15.236997604370117,0.005061632953584194,0.008203125,1.0,17805
18,73728,14720,-4.719339780882001,5.0,1.609200262464583e-05,0,-0.002674320712685585,13.446168899536133,0.0014500272227451205,0.000439453125,1.0,17833
19,77824,15552,-1.0662051226943732,5.0,1.3509876225725748e-05,0,-0.003881974145770073,11.849175453186035,0.0011962821008637547,0.001220703125,1.0,17870
20,81920,16384,-5.69273375235498,5.0,2.1016310711274855e-05,0,0.007836364209651947,26.803014755249023,0.0035116421058773994,0.01025390625,1.0,17949
21,86016,17184,-4.511712415888906,5.0,1.4034701052878518e-05,0,-0.006769038736820221,10.062710762023926,0.0027307437267154455,0.0123046875,1.0,17964
22,90112,18016,-0.12881756573915482,5.0,1.0493697118363343e-05,0,0.0040325503796339035,8.108829498291016,0.0008593444945290685,0.00146484375,1.0,18007
23,94208,18816,-4.6564472109079365,5.0,2.2456206352217123e-05,0,-0.0006865411996841431,16.773101806640625,0.0012984604109078646,0.001123046875,1.0,17740
24,98304,19648,-4.3784098908305165,5.0,7.68329482525587e-06,0,-0.00927728321403265,9.493579864501953,0.0029319010209292173,0.00703125,1.0,17742
25,102400,20480,-2.1859513759613036,5.0,1.8100619854521938e-05,0,-0.008299941197037697,13.401144027709961,0.002979588694870472,0.008056640625,1.0,17799
26,106496,21280,-0.5444968614727259,5.0,1.5843215805944055e-05,0,-0.000977909192442894,12.385140419006348,0.0018163744825869799,0.002392578125,1.0,17862
27,110592,22112,-0.6888040266931057,5.0,2.4339549781871028e-05,0,-0.0032592732459306717,13.852397918701172,0.002125788712874055,0.007763671875,1.0,17880
28,114688,22912,-5.184273516759276,5.0,2.6693815016187727e-05,0,-0.0038636988028883934,9.706121444702148,0.004592593759298325,0.008349609375,1.0,17885
29,118784,23744,-7.011059956997633,5.0,3.0478804546874017e-05,0,0.0025521032512187958,14.141789436340332,0.0029353033751249313,0.00869140625,1.0,17933
30,122880,24576,-8.466695346683263,5.0,2.2528322006110102e-05,0,-0.002294030971825123,8.686800956726074,0.0015934121329337358,0.0060546875,1.0,17907
31,126976,25376,-0.29732582084834575,5.0,1.9671610061777756e-05,0,-0.008447417989373207,7.468555450439453,0.002329775597900152,0.01123046875,1.0,17675
32,131072,26208,-2.4863193977624176,5.0,1.8306009224033915e-05,0,-0.0011642291210591793,9.669757843017578,0.0008894401253201067,0.002685546875,1.0,17575
33,135168,27008,-7.966517075151205,5.0,2.330055576749146e-05,0,0.0006687408313155174,6.054575443267822,0.0010907590622082353,0.000634765625,1.0,17475
34,139264,27840,-5.118283019587397,5.0,1.987196083064191e-05,0,0.006712932139635086,10.44859504699707,0.004777496214956045,0.008984375,1.0,17487
35,143360,28672,-7.441919108107686,5.0,1.220818558067549e-05,0,-0.0009323637932538986,12.531440734863281,0.0019398091826587915,0.0021484375,1.0,17477
36,147456,29472,-4.153464091569186,5.0,2.8847296562162228e-05,0,-0.0036916211247444153,18.942646026611328,0.00037494502612389624,0.003955078125,1.0,17489
37,151552,30304,-1.7146351739764214,5.0,1.5449761121999472e-05,0,-0.003168194554746151,9.05810546875,0.003030976513400674,0.001318359375,1.0,17460
38,155648,31104,-5.22145506888628,5.0,1.1622076272033155e-05,0,0.005446506664156914,6.140769004821777,0.0005128271877765656,0.004296875,1.0,17491
39,159744,31936,-4.719324353337288,5.0,1.3122302334522828e-05,0,0.0022656822111457586,8.054177284240723,0.0024759620428085327,0.010009765625,1.0,17510
40,163840,32768,-0.8518408451229333,5.0,1.6654053979436867e-05,0,0.00023051677271723747,10.107017517089844,0.004632826894521713,0.01044921875,1.0,17541
41,167936,33568,-0.4936058595776558,5.0,1.2613352737389505e-05,0,-0.005319906398653984,6.74601936340332,0.0031049444805830717,0.008740234375,1.0,17545
42,172032,34400,-7.192242000997067,5.0,1.7684793419903144e-05,0,0.0004955455660820007,5.852880001068115,0.0013403247576206923,0.000439453125,1.0,17551
43,176128,35200,-3.139959741011262,5.0,1.2821054042433389e-05,0,0.0035612694919109344,8.677091598510742,0.0046808915212750435,0.009375,1.0,17587
44,180224,36032,-3.0925476636737583,5.0,1.8149097741115838e-05,0,-0.007923075929284096,5.71504020690918,0.0023947982117533684,0.007763671875,1.0,17602
45,184320,36864,-5.008438056334853,5.0,1.9372746464796364e-05,0,-0.005109872668981552,14.34086799621582,0.002712651388719678,0.0025390625,1.0,17593
46,188416,37664,-2.8056434558704497,5.0,1.600282485014759e-05,0,-0.002688540145754814,8.664787292480469,0.0018559270538389683,0.001806640625,1.0,17566
47,192512,38496,-2.6230151291936634,5.0,1.4462015315075405e-05,0,-0.002730453386902809,5.713625907897949,0.0045044138096272945,0.02265625,1.0,17571
