update,global_step,segments_completed,model_segment_return_20,mean_segment_horizon_20,mean_uncertainty,uncertainty_terminations,policy_loss,value_loss,approx_kl,clip_fraction,mean_advantage_weight,sps
1,4096,232,-1.5209526367485524,17.55,3.1517060961050447e-06,89,-0.006307743489742279,11.98431396484375,0.003359945258125663,0.040283203125,1.0,18214
2,8192,472,-2.8372697219252587,15.95,4.095257736480562e-06,171,-0.00020519644021987915,1.4303395748138428,0.0038712630048394203,0.02138671875,1.0,18823
3,12288,709,-3.577432429790497,18.8,4.436215021996759e-06,238,-0.005803350359201431,4.254169464111328,0.002589194104075432,0.015625,1.0,19065
4,16384,947,-4.314708717912436,14.4,3.389947096366086e-06,326,-0.0011881589889526367,4.887044429779053,0.002537254709750414,0.00244140625,1.0,19150
5,20480,1175,-0.9390651904046535,18.1,1.3944304555479903e-06,392,0.0010741548612713814,5.365721702575684,0.00033166175126098096,0.004052734375,1.0,19236
6,24576,1410,-5.668553584814072,14.9,6.549053637172619e-07,456,-0.00357231218367815,15.584381103515625,0.0004093883326277137,0.00068359375,1.0,19296
7,28672,1638,-2.0162297993898393,16.45,2.3487148155254545e-06,517,-0.005947589874267578,4.494868278503418,0.002468536840751767,0.00751953125,1.0,19352
8,32768,1880,-3.8198859304189683,16.35,2.48031506089319e-06,611,-0.002601761370897293,0.3463085889816284,0.0034759854897856712,0.007666015625,1.0,19378
9,36864,2124,-1.928819179534912,17.75,2.341293566132663e-06,717,-0.009533141739666462,5.088007926940918,0.003323555225506425,0.014990234375,1.0,19187
10,40960,2370,-0.9087067008018493,17.55,1.205656644742703e-06,848,0.0003612786531448364,9.565918922424316,0.004548913333564997,0.004443359375,1.0,19070
11,45056,2641,-1.717125791311264,15.45,2.0333263819338754e-06,1028,-0.0022143982350826263,3.5258328914642334,0.0010540487710386515,0.006396484375,1.0,18474
12,49152,2906,-3.1399589598178865,15.15,5.8823288782150485e-06,1216,-0.012377515435218811,1.6750749349594116,0.004725712351500988,0.039404296875,1.0,18562
13,53248,3192,-1.8772849828004836,14.6,2.320276962564094e-06,1440,-0.00962101947516203,4.559525489807129,0.010724019259214401,0.044091796875,1.0,18626
14,57344,3497,-1.4147336572408675,14.3,4.275793799024541e-06,1719,-0.007579730823636055,0.6060078144073486,0.007600597105920315,0.06435546875,1.0,18688
15,61440,3821,-0.550136125087738,12.7,8.378456186619587e-06,2026,-0.006967341527342796,1.2296473979949951,0.004850959405303001,0.03818359375,1.0,18741
16,65536,4159,-1.9095669850707053,12.4,6.9786683525308035e-06,2353,-3.4792814403772354e-05,3.5160701274871826,0.004043366760015488,0.03125,1.0,18779
17,69632,4539,-2.525952272862196,10.4,8.061961125349626e-06,2723,-0.0058456771075725555,1.4559299945831299,0.0026138487737625837,0.018505859375,1.0,18815
18,73728,4926,-5.441886274516582,11.15,1.2952174074598588e-05,3098,-0.015558233484625816,4.951652526855469,0.004888285882771015,0.015087890625,1.0,18850
19,77824,5348,-2.8381068550050257,10.25,7.867975000408478e-06,3515,-0.0008120574057102203,0.6490992307662964,0.003627999220043421,0.0236328125,1.0,18875
20,81920,5789,-1.1499329574406147,9.4,2.783893251034897e-06,3949,-0.0072457753121852875,0.3813279867172241,0.005691770929843187,0.032861328125,1.0,18906
21,86016,6255,-2.090664792060852,9.8,1.1022312719433103e-05,4409,-0.006754925474524498,0.6033188104629517,0.008536036126315594,0.0669921875,1.0,18932
22,90112,6777,-4.401195309311151,7.8,9.054442671185825e-06,4930,-0.013240955770015717,2.0715692043304443,0.006341197527945042,0.064013671875,1.0,18954
23,94208,7297,-2.616560457646847,7.05,3.2211278266913723e-06,5444,-0.001468745293095708,1.2928683757781982,0.004672840237617493,0.03935546875,1.0,18965
24,98304,7855,-1.6819491058588028,6.85,1.1992385225312319e-05,5997,-0.0047090426087379456,1.2629520893096924,0.00644706329330802,0.034130859375,1.0,18984
