update,global_step,segments_completed,model_segment_return_20,mean_segment_horizon_20,mean_uncertainty,uncertainty_terminations,policy_loss,value_loss,approx_kl,clip_fraction,mean_advantage_weight,sps
1,4096,192,-11.815794649720193,20.0,2.0639421563828364e-05,0,-0.1535913050174713,105.36007690429688,0.004608894232660532,0.018798828125,0.8530296683311462,18564
2,8192,384,-7.432664720714092,20.0,2.6940211682813242e-05,0,-0.11699356138706207,123.28509521484375,0.0032432135194540024,0.013330078125,0.8060193061828613,19170
3,12288,608,-0.7862952500581741,20.0,2.6256664568791166e-05,0,-0.14757581055164337,98.61661529541016,0.0032355980947613716,0.022412109375,0.8365397453308105,19419
4,16384,800,-3.419129301607609,20.0,3.439826105022803e-05,0,-0.15008865296840668,97.41302490234375,0.0021430947817862034,0.011181640625,0.8281891345977783,19544
5,20480,1024,-10.478430551290511,20.0,3.614488377934322e-05,0,-0.14260922372341156,118.62602996826172,0.0010680879931896925,0.009375,0.8488399386405945,19605
6,24576,1216,-6.101447535306216,20.0,2.8013320843456313e-05,0,-0.14733949303627014,82.6252670288086,0.0034467652440071106,0.015234375,0.8321274518966675,19666
7,28672,1408,-9.789381866902113,20.0,2.9106155125191435e-05,0,-0.08810607343912125,61.94050979614258,0.0042544202879071236,0.02490234375,0.8838765621185303,19688
8,32768,1632,-21.65572851151228,20.0,3.1453233532374725e-05,0,-0.1885790079832077,182.7145538330078,0.0020218968857079744,0.0470703125,0.8594926595687866,19722
9,36864,1824,-10.801276627182961,20.0,2.4499462597304955e-05,0,-0.157383993268013,99.92041778564453,0.003835826413705945,0.020654296875,0.872136116027832,19748
10,40960,2048,-21.853876834362744,20.0,3.738568921107799e-05,0,-0.154227614402771,69.1202392578125,0.006713770795613527,0.01083984375,0.8640722036361694,19755
11,45056,2240,-6.17944300249219,20.0,3.069933518418111e-05,0,-0.18801040947437286,133.51683044433594,0.0013043294893577695,0.0169921875,0.8719230890274048,19765
12,49152,2432,-19.535690055787562,20.0,5.9132955357199535e-05,0,-0.18362107872962952,126.04801940917969,0.004566247574985027,0.008056640625,0.8721781969070435,19782
13,53248,2656,-18.3959622323513,20.0,3.097200169577263e-05,0,-0.15237510204315186,101.06266784667969,0.007032581605017185,0.021044921875,0.8592425584793091,19798
14,57344,2848,-10.912087734788656,20.0,2.600900006655138e-05,0,-0.1612091362476349,68.32377624511719,0.005106685683131218,0.019482421875,0.8739354610443115,19804
15,61440,3072,-15.8877468213439,20.0,5.346640682546422e-05,0,-0.12602701783180237,84.0761489868164,0.0017169937491416931,0.0033203125,0.8726410865783691,19798
16,65536,3264,-7.054903011023998,20.0,2.3717233489151113e-05,0,-0.18214872479438782,96.33721923828125,0.004650857299566269,0.012109375,0.8791177272796631,19800
17,69632,3456,-12.718277845531702,20.0,4.8543330194661394e-05,0,-0.1689613163471222,89.68179321289062,0.003282178658992052,0.0015625,0.8832919597625732,19792
18,73728,3680,-9.29437260106206,20.0,5.112646613270044e-05,0,-0.1596534252166748,84.05744934082031,0.0038273136597126722,0.02294921875,0.8778014779090881,19798
19,77824,3872,-6.577192083001137,20.0,7.669717160752043e-05,0,-0.1450600028038025,108.3384780883789,0.004424102138727903,0.004150390625,0.8586678504943848,19800
20,81920,4096,-26.932625294476747,20.0,3.9874586946098134e-05,0,-0.19475258886814117,139.23973083496094,0.0027890128549188375,0.01083984375,0.8541233539581299,19801
21,86016,4288,-6.638164418935776,20.0,5.777009209850803e-05,0,-0.12106902152299881,83.28247833251953,0.004442745819687843,0.0056640625,0.8913569450378418,19800
