update,global_step,segments_completed,model_segment_return_20,mean_segment_horizon_20,mean_uncertainty,uncertainty_terminations,policy_loss,value_loss,approx_kl,clip_fraction,mean_advantage_weight,sps
1,4096,800,-6.338944039493799,5.0,1.2756220257870154e-06,0,-0.0006108321249485016,33.152061462402344,0.005623717792332172,0.022265625,1.0,15730
2,8192,1632,-5.32260656543076,5.0,1.163097977041616e-06,0,-0.006866828538477421,40.7496337890625,0.0017931960755959153,0.01240234375,1.0,16994
3,12288,2432,-2.7957504764199257,5.0,1.2742475519189611e-06,0,0.0008850954473018646,39.57012939453125,0.004762514028698206,0.011083984375,1.0,17493
4,16384,3264,-5.583791426941753,5.0,1.089773945750494e-06,0,-0.012014128267765045,30.4021053314209,0.00405419385060668,0.019873046875,1.0,17764
5,20480,4096,-6.604447541758418,5.0,1.3473005537889549e-06,0,-0.00596619863063097,28.840328216552734,0.001490454189479351,0.01298828125,1.0,17927
6,24576,4896,-4.27937006726861,5.0,1.0692990599636687e-06,0,0.009142663329839706,25.877037048339844,0.003694480750709772,0.011669921875,1.0,18018
7,28672,5728,-6.371893171966076,5.0,1.1544287872311543e-06,0,-0.002425174228847027,31.284543991088867,0.0032249344512820244,0.0060546875,1.0,17967
8,32768,6528,-2.7116688821464776,5.0,1.3108437997289002e-06,0,-0.0011376310139894485,23.40831756591797,0.002820138819515705,0.005126953125,1.0,17140
9,36864,7360,-5.89055190011859,5.0,1.3313187992025632e-06,0,0.003221420571208,26.157146453857422,0.0022573776077479124,0.004541015625,1.0,17259
10,40960,8192,-6.168229874968529,5.0,1.1048692840631702e-06,0,-0.002804946154356003,26.404260635375977,0.000426120706833899,0.010986328125,1.0,17351
11,45056,8992,-5.7520549830049275,5.0,1.2964115967406542e-06,0,0.0003005713224411011,22.074243545532227,0.0018614011351019144,0.003564453125,1.0,17413
12,49152,9824,-3.160129243135452,5.0,1.3039976920481422e-06,0,0.0024342620745301247,24.002729415893555,0.0009568645036779344,0.001220703125,1.0,17492
13,53248,10624,-3.5369844272732736,5.0,1.2194536793685984e-06,0,-0.006601270288228989,27.715003967285156,0.0037393136881291866,0.00791015625,1.0,17557
14,57344,11456,-1.350453209131956,5.0,1.2364928352326388e-06,0,-0.001727823168039322,23.59661102294922,0.002088405191898346,0.0033203125,1.0,17621
15,61440,12288,-1.2658500604331493,5.0,1.321156332778628e-06,0,-0.0011836905032396317,15.945886611938477,0.00019310018979012966,0.000732421875,1.0,17677
16,65536,13088,-4.068170918524265,5.0,1.0685798770282418e-06,0,-0.00033441558480262756,22.859806060791016,0.0038182230200618505,0.003466796875,1.0,17697
17,69632,13920,-7.298192479088902,5.0,9.507594995739055e-07,0,0.00018129311501979828,16.269432067871094,0.0024333493784070015,0.003076171875,1.0,17743
18,73728,14720,-6.829613118246198,5.0,1.1729688367267954e-06,0,-0.0024183057248592377,22.215579986572266,0.0009719388908706605,0.000927734375,1.0,17786
19,77824,15552,-1.7279924102127553,5.0,1.3098913314024685e-06,0,-0.00040942616760730743,21.404420852661133,0.00042322740773670375,0.0,1.0,17820
20,81920,16384,-4.840644931048155,5.0,1.0852422747120727e-06,0,-0.003778950311243534,17.571409225463867,0.0003940378956031054,0.001025390625,1.0,17856
21,86016,17184,-3.045048425719142,5.0,1.135011984843004e-06,0,-0.00030713435262441635,21.880634307861328,0.0005675980355590582,0.0,1.0,17881
22,90112,18016,-3.3913340043276547,5.0,1.0940070751530584e-06,0,-0.0018979092128574848,21.147340774536133,0.0006833644001744688,0.0,1.0,17812
23,94208,18816,-2.525429421290755,5.0,1.3106969163345639e-06,0,-6.655044853687286e-05,27.047683715820312,2.5650166207924485e-05,0.0,1.0,17796
24,98304,19648,-4.799876015633345,5.0,9.308120070272707e-07,0,-0.0008726920932531357,20.06569480895996,6.461865268647671e-05,0.0,1.0,17784
