update,global_step,segments_completed,model_segment_return_20,mean_segment_horizon_20,mean_uncertainty,uncertainty_terminations,policy_loss,value_loss,approx_kl,clip_fraction,mean_advantage_weight,sps
1,4096,192,-3.157333478331566,20.0,7.648753808098263e-07,0,-0.1418304443359375,113.625732421875,0.002984841587021947,0.018505859375,0.9394962191581726,16729
2,8192,384,-3.517213286459446,20.0,7.729613571427763e-07,0,-0.10362038761377335,69.59980773925781,0.0019943388178944588,0.013916015625,0.9386263489723206,17530
3,12288,608,-20.71233887821436,20.0,1.1820037570942077e-06,0,-0.18209344148635864,193.82855224609375,0.0030792895704507828,0.013037109375,0.9071053266525269,17857
4,16384,800,-18.143930718302727,20.0,1.1507393082865747e-06,0,-0.14017492532730103,116.1702880859375,0.00138331507332623,0.0125,0.9101961255073547,18000
5,20480,1024,-6.656083430349827,20.0,1.0530516192375217e-06,0,-0.16850174963474274,125.33534240722656,0.0008902786648832262,0.00927734375,0.9160631895065308,18056
6,24576,1216,-11.203375190496445,20.0,8.059631113610521e-07,0,-0.12174123525619507,67.81472778320312,0.0033120056614279747,0.01259765625,0.942050576210022,18177
7,28672,1408,-25.569694213569164,20.0,9.746289606482605e-07,0,-0.14497387409210205,113.56906127929688,0.002716345014050603,0.0068359375,0.9254553318023682,18085
8,32768,1632,-19.671528930962086,20.0,1.0691312581911916e-06,0,-0.15211579203605652,148.32501220703125,0.0031661302782595158,0.00947265625,0.9251802563667297,18029
9,36864,1824,-14.287056727707386,20.0,1.6269435718641034e-06,0,-0.12746070325374603,62.501258850097656,0.001212709816172719,0.00322265625,0.9242168664932251,18010
10,40960,2048,-12.508854898810387,20.0,8.473597290503676e-07,0,-0.1176343560218811,106.26924133300781,0.00274170795455575,0.01123046875,0.9324295520782471,18064
11,45056,2240,-0.5088506400585174,20.0,1.5198667142612976e-06,0,-0.14722537994384766,107.09439086914062,0.0019298935076221824,0.00546875,0.9129598140716553,18111
12,49152,2432,-11.365136760473252,20.0,1.7091070958485943e-06,0,-0.18111206591129303,87.0733642578125,0.0021194384898990393,0.004052734375,0.9141990542411804,18154
13,53248,2656,-20.070689670741558,20.0,1.1843251286336454e-06,0,-0.14522817730903625,103.47171783447266,0.0037558183539658785,0.004541015625,0.9246995449066162,18192
14,57344,2848,-24.462977185845375,20.0,1.6996159502014052e-06,0,-0.13938352465629578,85.59837341308594,0.0029166247695684433,0.001220703125,0.9208954572677612,18226
15,61440,3072,-6.297192132472992,20.0,1.3775243132840842e-06,0,-0.1124722808599472,61.76576232910156,0.0032009389251470566,0.00576171875,0.9309472441673279,18257
16,65536,3264,-16.47424959540367,20.0,1.6790403378763585e-06,0,-0.14999496936798096,110.67611694335938,0.0035070732701569796,0.004345703125,0.9135650992393494,18284
17,69632,3456,-20.569635961949825,20.0,1.702283611848543e-06,0,-0.14017829298973083,100.82411193847656,0.0014572030631825328,0.000732421875,0.9119061231613159,18291
18,73728,3680,-18.19430392831564,20.0,1.5535892998741474e-06,0,-0.12873470783233643,103.25664520263672,0.001064389361999929,4.8828125e-05,0.9328359365463257,18269
19,77824,3872,-17.63082000911236,20.0,1.8379030279902508e-06,0,-0.160599946975708,126.48811340332031,3.980564360972494e-05,0.0,0.9093077182769775,18181
20,81920,4096,-28.775635121762754,20.0,1.9833264559565578e-06,0,-0.16696259379386902,137.7058563232422,0.0002046511508524418,0.0,0.9161335229873657,18157
21,86016,4288,-20.73617480248213,20.0,1.5526850347669097e-06,0,-0.13491839170455933,100.93396759033203,0.0008636122802272439,0.0,0.9194257855415344,17852
22,90112,4480,-17.51980039328337,20.0,1.3795738595945295e-06,0,-0.15770728886127472,111.2344741821289,0.00016405685164500028,0.0,0.9251434803009033,17834
23,94208,4704,-31.17077520638704,20.0,1.7534662219986785e-06,0,-0.1293800324201584,111.16015625,1.0755960829555988e-05,0.0,0.9220994710922241,17777
24,98304,4896,-11.49267121553421,20.0,7.160615496104583e-07,0,-0.11236642301082611,49.254817962646484,2.023647539317608e-06,0.0,0.9528247714042664,17764
