update,global_step,episodes_completed,mean_return_20,mean_length_20,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,sps
1,2048,8,-1318.6079637464811,200.0,0.0004931250587105751,0.4171299934387207,0.9174405932426453,0.002153168199583888,0.00849609375,0.0003,10172
2,4096,16,-1261.6279484443858,199.5,-0.0007439330220222473,0.05290167033672333,0.9165165424346924,0.002295448211953044,0.01083984375,0.0003,10440
3,6144,24,-1214.4352241227352,199.2,-0.004799393936991692,0.051257625222206116,0.9122971892356873,0.004768441431224346,0.028955078125,0.0003,10509
4,8192,40,-1292.9372138898484,199.0,-0.006408149376511574,0.07328303158283234,0.9124945998191833,0.003890329971909523,0.038671875,0.0003,10547
5,10240,48,-1254.2019488261128,199.0,0.0022565796971321106,0.05535100772976875,0.9049376845359802,0.003579626092687249,0.009423828125,0.0003,10603
6,12288,56,-1163.5692956948162,199.0,-0.005346880294382572,0.0613708421587944,0.903580904006958,0.0024007197935134172,0.004248046875,0.0003,10645
7,14336,64,-1199.1460044690587,199.0,0.0008796695619821548,0.07130425423383713,0.9050435423851013,0.0030284225940704346,0.03037109375,0.0003,10652
8,16384,80,-1150.9904060550257,199.0,-0.006903703324496746,0.0945223718881607,0.9177618622779846,0.002157502807676792,0.01513671875,0.0003,10681
9,18432,88,-1095.8390231821481,199.0,-0.007306274026632309,0.07043657451868057,0.9230978488922119,0.0032328537199646235,0.0171875,0.0003,10681
10,20480,96,-1091.0682907775376,199.0,-0.005675619468092918,0.058777377009391785,0.925626814365387,0.004033678211271763,0.033544921875,0.0003,10671
11,22528,112,-1086.7732863621611,199.0,-0.0011341609060764313,0.1307736486196518,0.9308431148529053,0.0025274811778217554,0.026171875,0.0003,10680
12,24576,120,-1118.1480344016302,199.0,0.0020040934905409813,0.08554424345493317,0.9251935482025146,0.005433803889900446,0.03662109375,0.0003,10683
13,26624,128,-1021.982652599987,199.0,-0.004530094563961029,0.06546613574028015,0.9198446869850159,0.0021198017057031393,0.027392578125,0.0003,10700
14,28672,136,-1004.0010646333187,199.0,-0.009077811613678932,0.10144335776567459,0.9227120876312256,0.0054348064586520195,0.049560546875,0.0003,10706
15,30720,152,-1025.9836533833927,199.0,0.0003582444041967392,0.12619556486606598,0.9267627596855164,0.0027161112520843744,0.0126953125,0.0003,10702
16,32768,160,-1071.7698983537139,199.0,-0.0062418729066848755,0.11553764343261719,0.9304066300392151,0.0025083888322114944,0.04150390625,0.0003,10711
17,34816,168,-1131.0817559353545,199.0,-0.0019753053784370422,0.1117461770772934,0.9296438694000244,0.001421864377334714,0.01240234375,0.0003,10716
18,36864,184,-1100.5520913626372,199.0,-0.007932270877063274,0.12211714684963226,0.9252566695213318,0.001834198134019971,0.01826171875,0.0003,10533
19,38912,192,-1117.209160342935,199.0,-0.006843917071819305,0.07493877410888672,0.9186697602272034,0.0051190899685025215,0.030078125,0.0003,10542
20,40960,200,-1113.823131161635,199.0,-0.0009089522063732147,0.10941694676876068,0.9217050075531006,0.004036399535834789,0.012841796875,0.0003,10545
21,43008,208,-1130.0050657893069,199.0,0.0013540321961045265,0.11330074816942215,0.9244430065155029,0.003790543880313635,0.019384765625,0.0003,10537
22,45056,224,-1132.7422579490208,199.0,-0.004184667021036148,0.24541212618350983,0.9238986372947693,0.003184151602908969,0.036962890625,0.0003,10537
23,47104,232,-1127.34841873001,199.0,0.0013430854305624962,0.17294467985630035,0.9217175841331482,0.0031716395169496536,0.03056640625,0.0003,10546
